video_id,yt_title,baseline_views,baseline_date,歌名,歌手,Initial Views,Initial Date
h6rcI296mSI,成全（《雀骨》影视剧回响曲）,17673.0,2026-08-11,-,-,-,-
G7uSHzyVAwg,林俊杰开口跪系列 翻唱孙燕姿金曲《我怀念的》 唱哭无数人！「我怀念的 是无话不说」《梦想的声音》EP2 | 纯享 ZJSTV,42100873.0,2026-08-11,-,-,-,-
esYjbyBm8zw,陳雪燃 - 無名之輩【電視劇《親愛的，熱愛的》主題曲】「也許很累一身狼狽 也許卑微一生無為」【動態歌詞】♪,23789238.0,2026-08-11,-,-,-,-
1w_LonNtCJ4,改变 (Live),4893.0,2026-08-11,-,-,-,-
NsT6MBvWHGk,Joysaaaa - 執迷不悟『我對你又何止是執迷不悟，眼淚偶爾會莫名的光顧。』【動態歌詞MV】,3122.0,2026-08-11,-,-,-,-
w5WSPMbEOgM,I Miss You Every Brand New Day - For Revenge | Lirik Lagu,40294.0,2026-08-11,-,-,-,-
CtnLzdsGINw,問愛,71084.0,2026-08-11,-,-,-,-
_uX6ndtAUjA,抖音《有何不可》許嵩【動態歌詞Lyrics】,2235540.0,2026-08-11,-,-,-,-
YPy4E04LErU,也许你就在对岸If You Are There,7186.0,2026-08-11,-,-,-,-
1gV5Ij8e4rg,張敬軒 Hins Cheung《靈魂相願》(Spectral Entanglement) [Official MV],451371.0,2026-08-11,-,-,-,-
4bvtmJf3kgM,花影（《百花杀》影视剧插曲）,32154.0,2026-08-11,-,-,-,-
4_ckG6FhY2o,半噸兄弟 - 煙火裡的塵埃『我的心裡住著一個 蒼老的小孩，如果世界聽不明白 對影子表白。』【動態歌詞MV】,4816.0,2026-08-11,-,-,-,-
-A41w3MHS-4,【影視劇ost】沙寶亮 | 未燼之火《這一秒過火》守望情深曲 Overdo OST #張凌赫 #王楚然 #lyrics,25118.0,2026-08-11,-,-,-,-
vYcl7cw8gWo,SWEETY 曾之喬 劉品言《櫻花草》（偶像劇【米可，GO！】主題曲、【星蘋果樂園】插曲）官方MV (Official Music Video),11987053.0,2026-08-11,-,-,-,-
0RsL8Ga73QQ,任然 - 無人之島『如果雲層是天空的一封信，能不能再聽一聽 聽你的聲音。』【動態歌詞Lyrics】,40885598.0,2026-08-11,-,-,-,-
P4kj0GSC600,【纯享版】李佳薇欢子深情演绎《一个傻子》！一句“就让我做个傻子好了”直戳泪点 粤语情歌氛围感直接封神 #天赐的声音7 EP6 20260717,80269.0,2026-08-11,-,-,-,-
yTPIpBl9c3w,休止符（Rest / Pause）,4214.0,2026-08-11,-,-,-,-
_JvVubQNzmY,劉宇寧《耀眼》（《耀眼》電視劇同名主題曲）官方MV｜騰訊音樂發行頻道,179758.0,2026-08-11,-,-,-,-
xBjh_vakuBI,你我他,69196.0,2026-08-11,-,-,-,-
yB0zE9TvyQ0,River (河流) (Live|伴奏),158.0,2026-08-11,-,-,-,-
IgjnQV8WJH8,【影視劇ost】王赫野&黃齡 | 過海《八仙！》電影插曲 Eight Immortals OST #王赫野#黃齡 #lyrics,5373.0,2026-08-11,-,-,-,-
iJBIcUo22q4,【影視劇ost】李常超（Lao乾媽） | 破陣子《九門》影視劇插曲 The Mystic Nine OST #陳偉霆 #曾舜晞 #lyrics #九門,3546.0,2026-08-11,-,-,-,-
6mNLABiWC9I,薛之謙《遲遲》 | 官方動態歌詞版MV [4K 60HZ超高清畫質]｜騰訊音樂雲頻道,193026.0,2026-08-11,-,-,-,-
n_KHQk1w7Gs,李荣浩Ronghao Li 《不遗憾》【“你的婚礼” 电影主题曲】动态歌词/Lyrics Video,19684542.0,2026-08-11,-,-,-,-
NZxc2mUOOqE,蕭亞軒-遺失的心跳『夜太深 心跳呢 已经 遗失了 不见了』【動態歌詞Lyrics】,2822285.0,2026-08-11,-,-,-,-
UsbRoaH6y-Q,KiiiKiii 키키 'Pop Off Pop Off' MV,2275453.0,2026-08-11,-,-,-,-
_Sjd3NVh1og,何與《風與花》（《百花殺》影視劇插曲）官方動態歌詞版MV｜騰訊音樂發行頻道,15322.0,2026-08-11,-,-,-,-
s1T0UAgb49Q,飞翔的一天 (A Day of Soaring) - 吴宣仪 (Betty Wu)《爱上另一个我 My Drama Missy》Chi/Eng/Pinyin lyrics,1027.0,2026-08-11,-,-,-,-
relM8XBrdpM,楊小壯 - 吹吹山頂的風「聽聞山頂來的風 能吹散過往的舊夢 我腳下的路大步走 管它南北西東」【動態歌詞】♪,1492.0,2026-08-11,-,-,-,-
qRgm1_5Wvl0,爱情没有神话 (《爱情没有神话》电视剧主题曲),75531.0,2026-08-11,-,-,-,-
1RQ4JkmpkaY,[Official MV] jeebanoff (지바노프) - 추억이란 이름 (Sailing Back To You) | 그대에게 드림 (Dream to You) OST Part.2,2829.0,2026-08-11,-,-,-,-
JiAzz4URDyI,嘿陈会计 (Live),10003.0,2026-08-11,-,-,-,-
xYMzKfyjcaM,"『最好聽的版本♪』《我不該動情》(男女合唱版) - 萬能和弦   (我發了瘋的愛你, 又拼了命的忘記, 早知會痛, 我就不該動情)",217326.0,2026-08-11,-,-,-,-
OSRMp3FWpgM,烏蘭圖雅 - 蘋果香『你讓浪跡天涯的孩子啊 夢中回家吧』【動態歌詞】,40101.0,2026-08-11,-,-,-,-
G0fkTpaWv28,夏天如约而来 (Summer Sparkle)（《全职高手》黄少天官方生贺主题曲）,7.0,2026-08-11,-,-,-,-
wlF0Rhj5ntY,中国人会飞 (The Chinese Can Fly),3725.0,2026-08-11,-,-,-,-
nu315A25yTA,《十萬片》郭郡BiSang_NX｜六年後重逢，還會再次選擇彼此嗎？【歌詞故事】,25.0,2026-08-11,-,-,-,-
gcSdKIvM0bA,吹向花开（《灿如繁星》影视剧片尾曲）,8494.0,2026-08-11,-,-,-,-
0swKZBxTNEQ,井迪 - 失控【動態歌詞】「我們啊 愛得沉重 一路懵懂 磕磕碰碰」♪,16885197.0,2026-08-11,-,-,-,-
eyVNYAf6vsw,Hula Hoop,790582.0,2026-08-11,-,-,-,-
