抓取日期,榜單類型,排名,歌名,歌手,專輯,發行日期,YouTube ID,點閱率
2026-08-12,綜藝新歌榜,86,孤单北半球,王赫野/张星特,音你而来3 第3期,2026-04-24,ZkZGMN623zQ,"166,528"
2026-08-12,綜藝新歌榜,87,一样的月光,曾沛慈,乘风2026 第7期,2026-05-23,J28oOfvNVD8,"9,753,608"
2026-08-12,綜藝新歌榜,88,签名笔,Rapeter,说唱巅峰对决2026 第1期,2026-06-27,uZZojQhMapw,"201,817"
2026-08-12,綜藝新歌榜,89,Don't Break My Heart,窦靖童,歌手2026 第1期,2026-05-23,klCd4FKdTWc,"1,801,221"
2026-08-12,綜藝新歌榜,90,胆小鬼,宋亚轩,国乐无双 第2期,2026-05-30,uS96KF4V_VA,"173,380"
2026-08-12,綜藝新歌榜,91,PeterPen (彼得潘),Rapeter/功夫胖KUNGFU-PEN,说唱巅峰对决2026 第3期,2026-07-11,pEUK51Fomt0,"168,465"
2026-08-12,綜藝新歌榜,92,匿名的好友,杨丞琳/黄子弘凡,天赐的声音第七季 第2期,2026-06-19,s9hGDIpwfXw,"18,415,192"
2026-08-12,綜藝新歌榜,93,心碎双面胶,黄旭,说唱巅峰对决2026 第5期,2026-07-25,JJWjST_D4fc,"33,887"
2026-08-12,綜藝新歌榜,94,纯妹妹,金志文,国乐无双 第9期,2026-07-25,pIfN_81SpgA,"6,615"
2026-08-12,綜藝新歌榜,95,夜来香,宋亚轩,国乐无双 第8期,2026-07-18,AoqEpnoNPHU,"31,405"
2026-08-12,綜藝新歌榜,96,Surprise (惊喜),早安,说唱巅峰对决2026 第2期,2026-07-04,U3i8jJNLuT0,"217,335"
2026-08-12,綜藝新歌榜,97,不同凡想,万妮达Vinida Weng,歌手2026 第10期,2026-07-25,AwvjyyC2_f4,"20,713"
2026-08-12,綜藝新歌榜,98,第三个吻痕,黄子弘凡/姚晓棠,天赐的声音第七季 第4期,2026-07-03,3iWQyS4vSFs,"218,530"
2026-08-12,綜藝新歌榜,99,爱情转移,欢子/周柏豪,天赐的声音第七季 第4期,2026-07-03,sRKFWX1CAwE,"146,746"
2026-08-12,綜藝新歌榜,100,到此为止,尤长靖,歌手2026 第10期,2026-07-25,59zO4rIqcno,"53,017"
